name,text
X00016469612,"tan woon yann

ROOK TAM (TAMAH OAYA)SON BNO |
TOP.
NOSE ISAT 6 94, DALaS Sage UD
TANAN CATA,
81203 JR BAMAY,
Xoo,

QUEUE

Caterers Wa t TER OPIOS

New: SS2 00.8 BL Pot
Caniuer t masts,
Meemeae +

CASH GILL

ce panes
ae aot

Warren 9 wage CAC uE! than
wg GD; 3m 50)

Baar ding Aoi te
Round J Total (AM):

Sash .
et is | 9 in

“OO
GOOEY WUD aad wor anadneedé

CHAU Aa £
= EET AP
eg wa. AS

Tht YO
SEAGL COO AG

"
X00016469619,"tan woon yann

shee GAs $M
TP datas ERP 13,
Tomek JOR JaTR,
SiS ce PME, Mage,
Tel sS7-Fi77 eS Fe O7- TSS

RECT PT

VANGFENE 2524S EDT
Cuniest (x hocstiovt?1 GS Est

Wor mpsS
ese Wo: C1” SOON

pees /ioee sy Price aqnstny

ST-V Gatave? Istvs

CE] PRL 10.50

Fea LaersstliCd G>

xa CA] 5 Sf if
et 19.008 “3.0?

Biesal Sty 2

TOTAL BME ee eee eeee BF

BOUNDING ADD. ... 6.
Ls]
CAD. eee eee eee eee eee EF MW.

CHEE coc eeereceeeeeer es OM 9.00

Thayne Tay f Pleste
lense Sele ter

"
X00016469620,"“tan woon yann
~

AOT tghh-k
caegae é
12290 $4

WHESTET AN Sal ane’ ‘
CPMBAAIAS

$3 14 13.63 19.83
PALSSUEL SFEATIR-SL-87S% 2 194
ALOT 4S

oMbete 8.02, 4.02

“WIG WINDSA1LGD curiatesison: :

Whiaeg2 = 49

SSLES 100224 3.82
3.83

Bw, 2
~9y 0.82
Ba 33.30
SH 86.00
om ge

.

DPLRAIOg FEAIME cESmLee

CUMbNGE 28E AL!

Gals

"
X00016469622,"tan woon yann

YONGFATT ENTERPRISE
une tid:
SUC AND 12S, GALAN DE DAP. 13
BLeDD soni Lannie
TY OP RSC,
OST Otte gh beet
TAR LNVOOSY

 aetnee

Leiigear ut | Reh:
Tae

Lays

EA LOANT 3s

""7"" Pedy Eer 7

Fed: Sours (Lituadeas OST, aS
Oustonet 3
few GET.

Remarg “ade

FF 03 30

1S

+ 2h.10

[GST SUULREARY ~
pieeCede = $0 AM) Tent]

1 oH By 49"" gest
{ Total; 51 0. cot
TTS Va WOT RECLMUIDARR TT Cree
"
X00016469623,"av

oat ¥

tan woon yann --

G.b.Y, Up Son 880

CORES 2. SECSTE-D)

SOT VOSU+8 b LSbT-R, AEN APE E,

BAWASSR PERG VDLSTS [AN BAC EE OUS
42330 SORT REMAND AS, SEL ASG

(VES PUTRA Attar)

svOice.

ayia 102 wage i Salat t$10c0 AL

(wel,

ee te ee oe oe 2
CO ay8S BASE WAL Um 1GDD-HL

WAC = 17 ; ave

SSSSG SLOG ae 1k * 4.62 4.62

#42 2a) nie 3stt

We
cee,

VB-41-18 125% Owl) 21S. 17 SeneaTEI2 .

CHER AT OR CRALALE COSTER

(Quant aE an low MEIN
TP oayS WIT. SECEIPT,
SHRIELLT 89 CASH BLFUND.

"
X00016469669,"’

tan chay yee
ABC HO TRADING
BPA MAN HREOC WIS,
AN aN DEA wAAIACH
RAR OAR
OSS 1428

PCE LET ""era ceareaneetecnem teem et ctenc am
a Cate EOFS MRT MONT ETH

ation meee Tenement
Ocxk itp tion Qtr Pike Aaowet

t

Teded Remcurai
Cast Megehied
Charge:

“Coad: Subd are nase fond
Then You >)

Peete Come Aguatt?

"
X00016469672,"1 eos -ibee

tan chay yee

SOON HUAT MACHINERY ENTERPRISE
EMQQEOIB RY
MAE IRLANT PUT RA
TAMAN SKI PUTRA,
ANSE: ATOMS GANA

TER OFSATIEG TC FAX, CREED
SOOM MATION Ie COM,
O41 COS eg ITS

one SSE SALES,

Ose Nig: » CRA There PUOU2OTE
Cased » VER Tire OAS
Somsgeryer Ret.

gem Sty ite bivite  dnacare

1302 aE
BLP aem (tne, Ros CRATE LT)
wertumpenitys & carci

oh:

abit ‘ Hee Oba toe
GANT at CORALOUEASSY
1971 Ye atG> Fp Pap
Fahad Cit,
rere $e bE et
REALE FC TORS OOM GAR COA
hott % #050 nh tae
E123 RUS Coaracig
ttay ' eee tae a0
StARTTR TA
shat SS es youn
OTS STARTER ANKE
naa : qe tOuD
4065 12. OOTN
=a ans: ae
Soon Sams 2 7S
\ Cligeure aco
3V3 00 Teasi ° ooe
Rinpetny SAS

Total Solon 2327.00
Cast: arse
Change : a0

COCO 200 2 .aag 03 pe AR, Teehntd Cad.
"
X00016469676,"tan chay yee

Hi pees sOGIT | UH, 30.

SBD i )

yeas

413 i 9.0 29.08
SACS GT TUES

a

SOLE MS 20h

PSE TQLS SIGS Fe,
Kets wo: G, Slanieni 1S
IMIGEGE AO. FST

isms vous Suomees

"
X51005200938,"sau

rer tae

tte

4

"
X51005230617,"1950

Gerbang Alaf Restaurants Sdn @hd

(65351-H) :
formerly know as. .
Golden Arches Restaurants Sdn bid “

Licensee of Kconald's .
‘Level 6, Bangunan_Th,. Dasansara-Uptow3...
Wo.3, Jalan’ $821/39.47400 Petaling Jaya
“Selangor ~

(GST 10 Mo: 000504664054)...
:, KePonald’s BHP Tasan Kelawat (#328)

Tel tio.” 03-4162-2318 — ve
- - TAX INVOICE :
ay WEY Side 4. oo

INVé 003281500229170
ORD’ 850 -REG 219- 18/01/2018 10:27:03

QTY: ITEH TOTAL
“°2 Chickchuffin 1.00
1H Porridge : 5.60...
- 1 BN QotCakes 7 10.00.
VL Comes ee
TakeQut Total (incl GST) 26.60.
Jotal Rounded 26.60 ©
Cash Tendered : 100.00 .
Change ~ a 73.40
TOTAL INCLUDES 6% GST Si ,
Nw, v

ee ar win ecdfeedback..cca..2y
“ aR
Dow load Hy -KcD Feedback from
mo Google Play/Aep Store

“ag, to,share your experience

Thank You end Please Cone Again.
Custoaer Service Hotline : 03-2726-5600

"
